File,liens
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM82032_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52011_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM84077_61.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM64074_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63079_59.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM92054_102.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM92142_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM64034_4.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62120_32.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25068_43.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM57095_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM92142_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63075_44.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62120_136.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25044_32.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52025_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM56085_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52011_136.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM64015_259.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM81001_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53083_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM57027_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63080_251.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM92101_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM56044_299.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52015_178.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53065_351.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63076_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25118_46.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53082_294.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25119_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM61003_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52075_18.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM56044_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM61080_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM93088_220.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62079_4.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM56016_369.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM91034_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63003_329.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM61019_217.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM61012_380.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM51017_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM64047_151.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63067_34.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM55022_176.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM85026_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53065_16.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63045_196.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63073_371.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52010_18.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM91013_208.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53083_384.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM51019_4.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53028_4.html
