place_liste,nom,position_elu,elu,place_positionelu,commune,INS_commune,province,parti,parti_propre,liste,lien,last_elu,diff_avec_last
34,YACOUBI Kenza,14,oui,20,Molenbeek-Saint-Jean / Sint-Jans-Molenbeek,21012,Bruxelles-Capitale,LB,LB,MOLENBEEK-SAINT-JEAN/LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21012_132.html,9,25
26,EL HAMROUNI Mohamed,6,oui,20,Brussels,21004,Bruxelles-Capitale,CDH,CDH,BRUXELLES/CDH,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21004_137.html,3,23
24,BRUNIN Hugues,4,oui,20,Saint-Ghislain,53070,Hainaut,CDH-MR-ECOLO-AC,CDH-MR-ECOLO-AC,SAINT-GHISLAIN/CDH-MR-ECOLO-AC,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53070_105.html,2,22
33,BAGCI Mustapha dit Mus,14,oui,19,Seraing,62096,Liège,PS,PS,SERAING/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62096_3.html,4,29
30,MANSOURI Khalid,11,oui,19,Saint-Gilles - Sint-Gillis,21013,Bruxelles-Capitale,LB (LISTE BOURGMESTRE),LB (LISTE BOURGMESTRE),SAINT-GILLES/LB (LISTE BOURGMESTRE),http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21013_132.html,4,26
32,DE ROOSE Alexandra Lexy,13,oui,19,Ixelles,21009,Bruxelles-Capitale,MR,MR,IXELLES/MR,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21009_172.html,8,24
33,KANFAOUI Abdallah,14,oui,19,Schaerbeek,21015,Bruxelles-Capitale,LISTE BOURGMESTRE,LISTE BOURGMESTRE,SCHAERBEEK/LISTE BOURGMESTRE,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21015_129.html,10,23
38,ZYGAS Patrick,21,oui,17,Uccle,21016,Bruxelles-Capitale,MR,MR,UCCLE/MR,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21016_172.html,14,24
36,ZANELLA Carine,20,oui,16,Seraing,62096,Liège,PS,PS,SERAING/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62096_3.html,4,32
35,MEURÉE Youri,19,oui,16,La Louvière,55022,Hainaut,PS,PS,LA LOUVIÈRE/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM55022_3.html,6,29
