Nr.,nom,voix,elu,commune,parti,lien
1,Drouart Jérémie,1400,1,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
2,Müller-Hübsch Susanne,762,2,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
3,Rygaert François,401,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
4,Panis Pascale,431,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
5,Neuzy Alan,498,6,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
6,De Coninck Isabelle,524,5,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
7,Ishema Richard,283,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
8,Kammachi Nadia,747,3,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
9,Benjumea Moreno Juan,295,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
10,Seddouk Sofia,457,8,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
11,Raedts Stéphane,180,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
12,Van Lierde Julie,550,4,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
13,Lux Pierre-Yves,236,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
14,Warnotte Sylvie,294,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
15,Tavernier-Laurens Stefan,228,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
16,De Wilde Claire,355,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
17,Randisi Giuseppe-Maria,238,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
18,Mohammad Shahin,484,7,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
19,Janssens Jean-Marc,194,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
20,Croeckaert Ann,289,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
21,Vanwelde Sylvain,234,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
22,Devloo Ann,254,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
23,Voglaire Philippe,197,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
24,Noel Christine,254,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
25,Berends Roelof,138,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
26,Baeke Viviane,208,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
27,Vlaemminck Benoit,140,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
28,Gilsoul Martine,226,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
29,Bougrour Ali,245,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
30,Van De Velde Leen,258,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
31,Lauwers Tanguy,193,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
32,Vanheuverzwijn Alice,312,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
33,Vanwelde Luc,408,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
34,Fréret Fanny,235,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
35,Curtis Dudley,183,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
36,Meurens Emmanuelle,245,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
37,Bocquet Noé,163,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
38,Rygaert Marie,292,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
39,Cogels Jacques,145,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
40,Deléhouzée Chloé,263,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
41,Vandersmissen Quentin,136,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
42,Schriewer Sabine,231,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
43,Cerise Emmanuel,200,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
44,El Amrani Nawal,367,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
45,Colard Julien,181,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
46,Vanden Bosch Anne,341,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
47,Debry Philippe,434,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html
1,Bogemans Louis,328,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
2,De Roover Seraphina,92,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
3,Bracke Frank,103,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
4,Wyns Francine,95,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
5,Roelands Shabir,64,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
6,Bracke Vibeke,54,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
7,Schots Luc,67,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
8,Vande Walle Andrée,63,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
9,Stas Robert,54,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
10,Thissen Yvette,60,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
11,Dils Philippe,51,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
12,Vercraeye Maria,64,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
13,Van Haelst Steven,60,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
14,Van Droogenbroeck Maria,94,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html
1,Kestemont Alain,822,1,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
2,Dehenain Michou,283,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
3,Fernandez Lopez José,252,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
4,Ngalula Stéphanie,297,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
5,Loop Emmanuel,145,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
6,Top Mine,125,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
7,Bibani Anis,215,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
8,Menzynski Myriam,155,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
9,Arslan Naher,95,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
10,Scheveneels Dorothée,256,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
11,Yaman Mustafa,363,3,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
12,De Bolster Martine,135,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
13,Legas Jacques,87,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
14,Stiévenart Nadine,156,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
15,Zang Ndo Nkolo Fernand,151,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
16,Luca Antonia,115,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
17,Marquegnies Tanguy,132,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
18,Seybou Zeinabou,96,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
19,da Silva Espinho Carlos,137,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
20,Mispelaere Pascale,120,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
21,Nogueira Miranda Márcio,51,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
22,Pereira Narciandi Beatriz,83,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
23,Azdoud Atef,131,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
24,Ahmetaj Faket,88,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
25,Nocent Christophe,78,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
26,Vandersanden Muriel,93,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
27,Trapasso Antonio,50,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
28,Byloos Morgane,82,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
29,Ouertani Ramez,72,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
30,Riggio Lisa,66,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
31,Julien Cedric,119,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
32,Diaz Suarez Sonia,79,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
33,Verheyden Pierre,82,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
34,Coulibaly Aïcha,120,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
35,Stanciu Daniel,127,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
36,Maghra Malika,120,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
37,Correia De Sousa Antonio,67,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
38,Geninazzi Isabella,69,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
39,Batjoens Charles,60,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
40,Ibekwe Vivian,93,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
41,Ouâmara Mohamed,76,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
42,Schelfhof Monique,79,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
43,Ransy Claude,68,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
44,Debosscher Raymonde,67,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
45,Van den Broeck Luc,113,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
46,Ikoko Lokwa Victorine,149,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
47,Bomele Nketo,426,2,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html
1,Tomas Eric,4102,1,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
2,Roex Elke,1009,2,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
3,Cumps Fabrice,1036,9,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
4,El Ikdimi Fatiha,1792,4,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
5,Wilmart Guy,2065,3,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
6,Miroir Fabienne,1126,7,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
7,Akouz Mustapha,1385,6,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
8,Comer Bieke,350,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
9,Haerten Jean-Marie,494,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
10,Bennani Sofia,1052,8,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
11,Salm Patrick,338,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
12,Hardy Joelle,385,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
13,Mostefa Lotfi,1449,5,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
14,Vanwelde-Drouart Marie-France,395,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
15,De Leener Fahim,352,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
16,Tayenne Brigitte,373,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
17,Milquet Julien,942,10,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
18,Cockshaw Sophie,313,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
19,De Wals Jean-Marie,308,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
20,Tayenne Véronique,347,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
21,Akremi Safouane,605,16,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
22,Ahmiri Latifa,673,14,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
23,Dielie Gwenaël,200,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
24,Cojocaru Melania,307,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
25,Kaya Abdurrahman,857,11,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
26,Mukonde Binti Kianza Djulia,477,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
27,Ntacorigira Victor,314,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
28,Mimmo Vanessa,217,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
29,Khazri Mohammed,708,13,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
30,Moné Germaine,209,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
31,Vandecasteele Guy,195,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
32,Verbesselt Chantal,247,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
33,Heylens Georges,292,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
34,Shkodra Vaile,491,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
35,Ottou Anyouzoa Dominique,314,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
36,Barry Fatou,471,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
37,Aamir Naeem Mohammad Sunny,667,15,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
38,Michalakoudis Sophie Mika,201,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
39,Birlenbach Kevin,163,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
40,Da Silva Xisto Isabel,212,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
41,Van Aelst Bastien,200,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
42,Duraki Luiza,530,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
43,Devilers Robert,185,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
44,Duroi Hilde,217,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
45,Garti Moulki Mohamed,505,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
46,Ayad Naziha,547,,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
47,Emmery Isabelle,720,12,Anderlecht,PS-sp.a-cdH,http://bru2018.brussels/fr/results/municipalities/6071/lists/304.html
1,Mertens Anne,327,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
2,Longin Erik,128,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
3,Smets Dorothea,49,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
4,Vanhaelen Paul,70,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
5,Pauwels Claudine,83,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
6,De Dobbeleer Fernand,75,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
7,Qamha Inès,81,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
8,de Hoog Felix,41,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
9,Demeester Jana,51,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
10,Longin Tom,71,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
11,Coene Florentine,50,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
12,Mertens Stijn,59,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
13,De Landtsheer Bernadette,57,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
14,Vanderstraeten Louis,49,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
15,de Ridder Jeannine,53,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
16,Vandenbossche Walter,125,,Anderlecht,CD&V Plus,http://bru2018.brussels/fr/results/municipalities/6071/lists/325.html
1,Verstraeten Gilles,657,1,Anderlecht,N-VA,http://bru2018.brussels/fr/results/municipalities/6071/lists/52.html
2,Van den Bosch Cindy,328,,Anderlecht,N-VA,http://bru2018.brussels/fr/results/municipalities/6071/lists/52.html
3,Stas Yoann,205,,Anderlecht,N-VA,http://bru2018.brussels/fr/results/municipalities/6071/lists/52.html
4,Wyns Ingrid,238,,Anderlecht,N-VA,http://bru2018.brussels/fr/results/municipalities/6071/lists/52.html
5,De Boeck Tom,193,,Anderlecht,N-VA,http://bru2018.brussels/fr/results/municipalities/6071/lists/52.html
6,De Weghe Godelieve,200,,Anderlecht,N-VA,http://bru2018.brussels/fr/results/municipalities/6071/lists/52.html
7,Roose Bruno,170,,Anderlecht,N-VA,http://bru2018.brussels/fr/results/municipalities/6071/lists/52.html
8,Vermeulen Jacqueline,216,,Anderlecht,N-VA,http://bru2018.brussels/fr/results/municipalities/6071/lists/52.html
9,De Saedeleer Jean-Pierre,176,,Anderlecht,N-VA,http://bru2018.brussels/fr/results/municipalities/6071/lists/52.html
10,Bodengien Chantal,266,,Anderlecht,N-VA,http://bru2018.brussels/fr/results/municipalities/6071/lists/52.html
1,Bordonaro Giovanni,2050,1,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
2,Roggemans Martine,652,2,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
3,Fellemans Olivier,608,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
4,Messaoudi Yasmina,1730,3,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
5,Crespin André,353,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
6,Polanco Palacio Patricia,390,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
7,Bennici Samuele,321,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
8,Obidic Ingrid,331,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
9,Deville David,372,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
10,Baldassarre Incoronata,300,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
11,Dobbelaere Michel,317,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
12,Ben Haddou Fatima,1172,4,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
13,Godefroid Gilles,298,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
14,Bestard Anne,349,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
15,Schelkens Olivier,309,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
16,Belafquih Leïla,877,7,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
17,Godefroid Frédéric,372,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
18,Ben Haddou Saïda,1068,5,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
19,Verdoot Claude,279,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
20,Marage Claire,350,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
21,Brijon Willy,247,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
22,Abdallah Mahyoub Iman,912,6,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
23,Anton Fernand,255,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
24,Kenfack Dongmo Brigitte,287,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
25,De Rycke Sébastien,297,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
26,Dinc Belkiz,298,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
27,Riggio Carmelo,267,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
28,Mutsaarts Jenny,294,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
29,Piedboeuf Patrick,299,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
30,Polanco Palacio Paula,357,,Anderlecht,PTB*PVDA,http://bru2018.brussels/fr/results/municipalities/6071/lists/192.html
1,Van Goidsenhoven Gaëtan,4729,1,Anderlecht,MR-Open Vld-IC,http://bru2018.brussels/fr/results/municipalities/6071/lists/318.html
2,Cassart-Simon Monique,1237,2,Anderlecht,MR-Open Vld-IC,http://bru2018.brussels/fr/results/municipalities/6071/lists/318.html
3,Dielis Christophe,971,5,Anderlecht,MR-Open Vld-IC,http://bru2018.brussels/fr/results/municipalities/6071/lists/318.html
4,Carlier Françoise,1075,4,Anderlecht,MR-Open Vld-IC,http://bru2018.brussels/fr/results/municipalities/6071/lists/318.html
5,Vandyck Achille Junior,1593,3,Anderlecht,MR-Open Vld-IC,http://bru2018.brussels/fr/results/municipalities/6071/lists/318.html
6,Michiels Fabienne,793,6,Anderlecht,MR-Open Vld-IC,http://bru2018.brussels/fr/results/municipalities/6071/lists/318.html
7,Adine Kamal,577,9,Anderlecht,MR-Open Vld-IC,http://bru2018.brussels/fr/results/municipalities/6071/lists/318.html
8,Benmrah Halina,315,,Anderlecht,MR-Open Vld-IC,http://bru2018.brussels/fr/results/municipalities/6071/lists/318.html
9,Bajart Lionel,342,,Anderlecht,MR-Open Vld-IC,http://bru2018.brussels/fr/results/municipalities/6071/lists/318.html
10,Michiels Patricia,261,,Anderlecht,MR-Open Vld-IC,http://bru2018.brussels/fr/results/municipalities/6071/lists/318.html
11,Bertrand Didier,411,,Anderlecht,MR-Open Vld-IC,http://bru2018.brussels/fr/results/municipalities/6071/lists/318.html
