Nr.,Titulaires,Votes,%,I,II,III,commune,parti,lien,liste
1,DEPREZ Jean-Pierre,198,"26,36%",198,1,NA,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
2,LALA Carmelina,89,"11,85%",89,NA,1,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
3,DEFOURNY François,38,"5,06%",38,NA,4,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
4,CAUCHIE Florence,39,"5,19%",39,NA,3,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
5,ADAM Charles,25,"3,33%",25,NA,7,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
6,AVICE Lucette,21,"2,80%",21,NA,11,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
7,GILOT Léon,30,"3,99%",30,NA,5,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
8,NGUETSOP-LONTCHI Nicole,22,"2,93%",22,NA,10,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
9,PEZZETTI Victor,20,"2,66%",20,NA,14,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
10,HAUTENNE Myriam,23,"3,06%",23,NA,9,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
11,HENIN Jean,20,"2,66%",20,NA,15,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
12,COSTANZO Maria,21,"2,80%",21,NA,12,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
13,CECCON Jimmy,17,"2,26%",17,NA,17,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
14,HERMANS Jennifer,21,"2,80%",21,NA,13,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
15,CLOVYN Fabian,14,"1,86%",14,NA,19,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
16,WARNIER Annick,20,"2,66%",20,NA,16,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
17,BIREMBAUT Edmond,10,"1,33%",10,NA,20,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
18,ZICOT Micheline,17,"2,26%",17,NA,18,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
19,VANKERKOVEN Vincent,26,"3,46%",26,NA,6,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
20,VARNAS Kristelle,25,"3,33%",25,NA,8,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
21,MARIQUE Jean-Pierre,55,"7,32%",55,NA,2,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
1,NAVEZ Pierre,83,"26,35%",83,1,NA,Aiseau-Presles,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-ECOLO
2,RUGGIN Maria Christina,77,"24,44%",77,NA,1,Aiseau-Presles,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-ECOLO
3,DE ROOVER Pierre,56,"17,78%",56,NA,2,Aiseau-Presles,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-ECOLO
4,VANVELTHEM Marie-Paule,51,"16,19%",51,NA,3,Aiseau-Presles,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-ECOLO
5,MARLIER Frédéric,48,"15,24%",48,NA,4,Aiseau-Presles,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-ECOLO
1,FERSINI Jean,1.388,"23,79%",1.388,1,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
2,GEERAERTS Virginie,510,"8,74%",510,3,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
3,GRENIER Dominique,520,"8,91%",520,2,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
4,WALKA Melissa,207,"3,55%",207,10,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
5,VALENTIN Vincent,339,"5,81%",339,4,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
6,AZZAZ Walaba,323,"5,54%",323,5,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
7,BERDOYES Lionel,144,"2,47%",144,NA,5,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
8,DRESSE Anne-Lise,198,"3,39%",198,NA,1,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
9,DEMARS Didier,145,"2,49%",145,NA,4,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
10,LORGE Caroline,90,"1,54%",90,NA,11,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
11,NOTO Christopher,131,"2,25%",131,NA,7,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
12,LORENT Nathalie,100,"1,71%",100,NA,9,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
13,ARENA Pierro,253,"4,34%",253,8,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
14,TUMSON Martine,103,"1,77%",103,NA,8,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
15,HENROTIN Rapha,96,"1,65%",96,NA,10,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
16,COLAUX Cécile,220,"3,77%",220,9,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
17,COSTENARO Sylvain,175,3%,175,NA,3,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
18,DEYONGHE BANCU Annick,136,"2,33%",136,NA,6,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
19,BIRINCI Fatih,259,"4,44%",259,7,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
20,BERGER Géraldine,190,"3,26%",190,NA,2,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
21,STANDAERT Rudy,308,"5,28%",308,6,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
1,CHARLIER Philippe,618,"11,34%",618,1,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
2,SMOLDERS LESIRE Laurence,282,"5,17%",282,6,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
3,HUCQ Gérard,501,"9,19%",501,2,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
4,LAFAILLE SABATO Coralie,227,"4,17%",227,NA,2,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
5,HAMEG Moktar,435,"7,98%",435,5,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
6,DEMIRKAN Busra,486,"8,92%",486,3,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
7,BIERWART Jean-Pierre,224,"4,11%",224,NA,4,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
8,PIEDIGROSSO Isabelle,144,"2,64%",144,NA,7,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
9,KAYA Engin,225,"4,13%",225,NA,3,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
10,D'AGOSTINO Anna-Vittoria,140,"2,57%",140,NA,8,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
11,BEN MEKKI Abdelilah,120,"2,20%",120,NA,9,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
12,LAMBOT Karine,184,"3,38%",184,NA,5,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
13,GRAVY Alain,110,"2,02%",110,NA,11,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
14,GILLIARD Stéphanie,109,2%,109,NA,12,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
15,PENNUCCI David,107,"1,96%",107,NA,13,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
16,HALSEN Janine,117,"2,15%",117,NA,10,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
17,MORAUX Jean-Marie,237,"4,35%",237,NA,1,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
18,TEDESCO Carine,180,"3,30%",180,NA,6,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
19,RANSQUIN Fabrice,264,"4,84%",264,8,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
20,BASTIN BRUART Martine,266,"4,88%",266,7,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
21,GROLAUX Jean-Claude,474,"8,70%",474,4,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
1,GARBAR Eric,111,"9,88%",111,NA,1,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
2,STAMPART Odile,95,"8,45%",95,NA,3,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
3,TERZI Franco,126,"11,21%",126,1,NA,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
4,CORNILLE Florine,74,"6,58%",74,NA,8,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
5,TEDESCHI Alduino,87,"7,74%",87,NA,5,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
6,BUSSOLA Vanessa,72,"6,41%",72,NA,9,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
7,PINEDO Y MEDINA Anthony,92,"8,19%",92,NA,4,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
8,MISERIA Christelle,66,"5,87%",66,NA,11,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
9,AZAZ Malik,76,"6,76%",76,NA,7,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
10,GONZALEZ Laura,60,"5,34%",60,NA,12,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
11,CORNAMUSA Alessandro Giovanni,87,"7,74%",87,NA,6,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
12,FAUCHE Arlette,72,"6,41%",72,NA,10,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
13,SALLUSTIO Renato,106,"9,43%",106,NA,2,Aiseau-Presles,ACAP6250,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-ACAP6250
1,JAVAUX Jean-Michel,3.077,"32,35%",3.077,1,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
2,CAPRASSE Stéphanie,552,"5,80%",552,2,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
3,LACROIX Didier,292,"3,07%",292,10,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
4,DAVIGNON Janine,482,"5,07%",482,4,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
5,CASTRONOVO Louis,232,"2,44%",232,NA,4,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
6,BORGNET Corinne,296,"3,11%",296,9,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
7,DELVAUX Daniel,252,"2,65%",252,NA,2,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
8,BRUYNINCKX Nathalie,202,"2,12%",202,NA,7,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
9,ENGLEBERT Eric,207,"2,18%",207,NA,6,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
10,LIZÉE Cyrielle,252,"2,65%",252,NA,3,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
11,MAINFROID Pol,308,"3,24%",308,7,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
12,RENAUX Denise,168,"1,77%",168,NA,9,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
13,BOCCAR Daniel,298,"3,13%",298,8,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
14,MICHEL Nadège,218,"2,29%",218,NA,5,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
15,HUBERTY Luc,272,"2,86%",272,13,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
16,TONNON Christel,266,"2,80%",266,NA,1,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
17,TORREBORRE Raphaël,511,"5,37%",511,3,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
18,STALMANS Marie-Ange,162,"1,70%",162,NA,10,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
19,JOUFFROY Jean-Jacques,283,"2,98%",283,12,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
20,DUVIVIER Angélique,185,"1,94%",185,NA,8,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
21,MÉLON Luc,351,"3,69%",351,6,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
22,LEHANE Déborah,289,"3,04%",289,11,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
23,DELHEZ Catherine,357,"3,75%",357,5,NA,Amay,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-ECOLO
1,DELIZÉE Marc,618,"9,39%",618,2,NA,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
2,SOHET Vinciane,673,"10,23%",673,1,NA,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
3,MOINY Samuel,522,"7,94%",522,3,NA,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
4,GODDEVRIND Mélanie,208,"3,16%",208,NA,6,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
5,DE MARCO David,457,"6,95%",457,4,NA,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
6,ROUBINET Sophie,121,"1,84%",121,NA,13,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
7,CONTENT Marc,225,"3,42%",225,NA,4,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
8,FRAITURE Amandine,335,"5,09%",335,7,NA,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
9,LALLEMAND Jordy,318,"4,83%",318,8,NA,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
10,HAUTECLAIR Marie-Christine,188,"2,86%",188,NA,7,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
11,VANBRABANT Michel,265,"4,03%",265,NA,2,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
12,GAVA Renata,227,"3,45%",227,NA,3,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
13,LAMBERT Marc,138,"2,10%",138,NA,12,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
14,PEGORARO Géraldine,178,"2,71%",178,NA,9,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
15,BASIAU Daniel,147,"2,23%",147,NA,11,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
16,PRAILLET Anne Marie,180,"2,74%",180,NA,8,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
17,KINET Pascal,454,"6,90%",454,5,NA,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
18,LIBAN Charlotte,104,"1,58%",104,NA,14,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
19,THONON Simon,454,"6,90%",454,6,NA,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
20,FOUARGE Pascale,224,"3,41%",224,NA,5,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
21,MOORMANN Patrick,99,"1,51%",99,NA,15,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
22,MORCIMEN Nadya,164,"2,49%",164,NA,10,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
23,IANIERO Angelo,279,"4,24%",279,NA,1,Amay,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-PS
1,TILMAN Benoit,266,"14,60%",266,1,NA,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
2,HALLUT Isabelle,127,"6,97%",127,NA,1,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
3,JAMSIN Pascal,155,"8,51%",155,2,NA,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
4,DESTOOP Françoise,58,"3,18%",58,NA,14,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
5,LEGAST Cédric,62,"3,40%",62,NA,12,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
6,ALTUNIN Frédérique,66,"3,62%",66,NA,9,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
7,CABU Steven,47,"2,58%",47,NA,19,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
8,MONTULET Marie-Christine,86,"4,72%",86,NA,3,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
9,PAVLOV Kirill,65,"3,57%",65,NA,11,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
10,NEUVILLE Françoise,75,"4,12%",75,NA,6,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
11,BELLEMANS Robert,55,"3,02%",55,NA,15,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
12,CLAES Erine,82,"4,50%",82,NA,4,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
13,BAILLY Jacques,55,"3,02%",55,NA,16,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
14,LEJEUNE Bernadette,66,"3,62%",66,NA,10,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
15,HENROT Jean-Marc,51,"2,80%",51,NA,18,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
16,STROOBANTS Nancy,61,"3,35%",61,NA,13,Amay,AMAY.PLUS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-AMAY.PLUS
