Nr,Titulaires,Votes,%,I,II,III,commune,parti,lien,liste
1,DEPREZ Jean-Pierre,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
2,LALA Carmelina,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
3,DEFOURNY François,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
4,CAUCHIE Florence,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
5,ADAM Charles,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
6,AVICE Lucette,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
7,GILOT Léon,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
8,NGUETSOP-LONTCHI Nicole,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
9,PEZZETTI Victor,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
10,HAUTENNE Myriam,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
11,HENIN Jean,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
12,COSTANZO Maria,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
13,CECCON Jimmy,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
14,HERMANS Jennifer,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
15,CLOVYN Fabian,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
16,WARNIER Annick,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
17,BIREMBAUT Edmond,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
18,ZICOT Micheline,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
19,VANKERKOVEN Vincent,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
20,VARNAS Kristelle,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
21,MARIQUE Jean-Pierre,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
1,NAVEZ Pierre,0,0%,-,NA,NA,Aiseau-Presles,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-11 LB
2,RUGGIN Maria Christina,0,0%,-,NA,NA,Aiseau-Presles,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-11 LB
3,DE ROOVER Pierre,0,0%,-,NA,NA,Aiseau-Presles,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-11 LB
4,VANVELTHEM Marie-Paule,0,0%,-,NA,NA,Aiseau-Presles,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-11 LB
5,MARLIER Frédéric,0,0%,-,NA,NA,Aiseau-Presles,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-11 LB
1,FERSINI Jean,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
2,GEERAERTS Virginie,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
3,GRENIER Dominique,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
4,WALKA Melissa,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
5,VALENTIN Vincent,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
6,AZZAZ Walaba,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
7,BERDOYES Lionel,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
8,DRESSE Anne-Lise,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
9,DEMARS Didier,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
10,LORGE Caroline,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
11,NOTO Christopher,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
12,LORENT Nathalie,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
13,ARENA Pierro,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
14,TUMSON Martine,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
15,HENROTIN Rapha,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
16,COLAUX Cécile,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
17,COSTENARO Sylvain,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
18,DEYONGHE BANCU Annick,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
19,BIRINCI Fatih,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
20,BERGER Géraldine,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
21,STANDAERT Rudy,0,0%,0,NA,NA,Aiseau-Presles,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-11 LB
1,CHARLIER Philippe,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
2,SMOLDERS LESIRE Laurence,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
3,HUCQ Gérard,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
4,LAFAILLE SABATO Coralie,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
5,HAMEG Moktar,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
6,DEMIRKAN Busra,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
7,BIERWART Jean-Pierre,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
8,PIEDIGROSSO Isabelle,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
9,KAYA Engin,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
10,D'AGOSTINO Anna-Vittoria,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
11,BEN MEKKI Abdelilah,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
12,LAMBOT Karine,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
13,GRAVY Alain,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
14,GILLIARD Stéphanie,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
15,PENNUCCI David,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
16,HALSEN Janine,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
17,MORAUX Jean-Marie,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
18,TEDESCO Carine,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
19,RANSQUIN Fabrice,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
20,BASTIN BRUART Martine,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
21,GROLAUX Jean-Claude,0,0%,0,NA,NA,Aiseau-Presles,ENSEMBLE,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-11 LB
1,GARBAR Eric,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
2,STAMPART Odile,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
3,TERZI Franco,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
4,CORNILLE Florine,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
5,TEDESCHI Alduino,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
6,BUSSOLA Vanessa,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
7,PINEDO Y MEDINA Anthony,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
8,MISERIA Christelle,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
9,AZAZ Malik,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
10,GONZALEZ Laura,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
11,CORNAMUSA Alessandro Giovanni,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
12,FAUCHE Arlette,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
13,SALLUSTIO Renato,0,0%,0,NA,NA,Aiseau-Presles,ACAP6250,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=429,Aiseau-Presles-11 LB
1,JAVAUX Jean-Michel,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
2,CAPRASSE Stéphanie,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
3,LACROIX Didier,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
4,DAVIGNON Janine,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
5,CASTRONOVO Louis,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
6,BORGNET Corinne,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
7,DELVAUX Daniel,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
8,BRUYNINCKX Nathalie,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
9,ENGLEBERT Eric,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
10,LIZÉE Cyrielle,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
11,MAINFROID Pol,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
12,RENAUX Denise,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
13,BOCCAR Daniel,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
14,MICHEL Nadège,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
15,HUBERTY Luc,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
16,TONNON Christel,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
17,TORREBORRE Raphaël,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
18,STALMANS Marie-Ange,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
19,JOUFFROY Jean-Jacques,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
20,DUVIVIER Angélique,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
21,MÉLON Luc,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
22,LEHANE Déborah,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
23,DELHEZ Catherine,0,0%,0,NA,NA,Amay,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=6,Amay-11 LB
1,DELIZÉE Marc,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
2,SOHET Vinciane,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
3,MOINY Samuel,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
4,GODDEVRIND Mélanie,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
5,DE MARCO David,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
6,ROUBINET Sophie,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
7,CONTENT Marc,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
8,FRAITURE Amandine,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
9,LALLEMAND Jordy,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
10,HAUTECLAIR Marie-Christine,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
11,VANBRABANT Michel,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
12,GAVA Renata,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
13,LAMBERT Marc,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
14,PEGORARO Géraldine,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
15,BASIAU Daniel,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
16,PRAILLET Anne Marie,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
17,KINET Pascal,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
18,LIBAN Charlotte,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
19,THONON Simon,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
20,FOUARGE Pascale,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
21,MOORMANN Patrick,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
22,MORCIMEN Nadya,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
23,IANIERO Angelo,0,0%,0,NA,NA,Amay,PS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=8,Amay-11 LB
1,TILMAN Benoit,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
2,HALLUT Isabelle,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
3,JAMSIN Pascal,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
4,DESTOOP Françoise,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
5,LEGAST Cédric,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
6,ALTUNIN Frédérique,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
7,CABU Steven,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
8,MONTULET Marie-Christine,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
9,PAVLOV Kirill,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
10,NEUVILLE Françoise,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
11,BELLEMANS Robert,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
12,CLAES Erine,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
13,BAILLY Jacques,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
14,LEJEUNE Bernadette,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
15,HENROT Jean-Marc,0,0%,0,NA,NA,Amay,AMAY.PLUS,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM61003&party=7,Amay-11 LB
