numero,liste,resultat_2019,resultat_2014,pourcent_2019,pourcent_2014,evolution_en_pourcent,commune,lien,INS,Entités administratives,Langue,Administratieve eenheden,Province,Region
9,VLAAMS BELANG,1.106,386,"7,94%","2,87%","+5,07%",Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
10,CD&V,1.477,1.798,"10,61%","13,39%","-2,78%",Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
11,DéFI,915,-,"6,57%",-,"-2,04%",Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
NA,FDF,-,1.157,-,"8,61%",-,Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
12,PVDA,352,-,"2,53%",-,"+1,61%",Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PVDA+,-,123,-,"0,92%",-,Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
15,GROEN,1.886,1.112,"13,55%","8,28%","+5,27%",Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
16,sp.a,598,831,"4,30%","6,19%","-1,89%",Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
21,PRO,38,-,"0,27%",-,-,Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
22,BUB Belgische Unie,154,-,"1,11%",-,-,Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
NA,ROSSEM,-,10,-,"0,07%",-,Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PP,-,48,-,"0,36%",-,Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
NA,B.U.B.-Belg.Unie,-,100,-,"0,74%",-,Overijse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23062,23062,Overijse,N,Overijse,Province du Brabant Flamand,RÉGION FLAMANDE
3,Open Vld,600,950,"19,34%","31,55%","-12,21%",Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
8,N-VA,987,874,"31,81%","29,03%","+2,78%",Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
9,VLAAMS BELANG,445,91,"14,34%","3,02%","+11,32%",Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
10,CD&V,483,684,"15,57%","22,72%","-7,15%",Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
11,DéFI,13,-,"0,42%",-,"-0,08%",Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
NA,FDF,-,15,-,"0,50%",-,Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
12,PVDA,104,-,"3,35%",-,"+2,09%",Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PVDA+,-,38,-,"1,26%",-,Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
15,GROEN,278,187,"8,96%","6,21%","+2,75%",Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
16,sp.a,164,156,"5,29%","5,18%","+0,10%",Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
21,PRO,16,-,"0,52%",-,-,Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
22,BUB Belgische Unie,13,-,"0,42%",-,-,Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
NA,ROSSEM,-,5,-,"0,17%",-,Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PP,-,3,-,"0,10%",-,Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
NA,B.U.B.-Belg.Unie,-,8,-,"0,27%",-,Pepingen,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23064,23064,Pepingen,N,Pepingen,Province du Brabant Flamand,RÉGION FLAMANDE
3,Open Vld,507,907,"14,85%","29,48%","-14,63%",Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
8,N-VA,1.159,815,"33,95%","26,49%","+7,46%",Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
9,VLAAMS BELANG,264,74,"7,73%","2,40%","+5,33%",Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
10,CD&V,362,436,"10,60%","14,17%","-3,57%",Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
11,DéFI,316,-,"9,26%",-,"-1,11%",Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
NA,FDF,-,319,-,"10,37%",-,Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
12,PVDA,76,-,"2,23%",-,"+1,09%",Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PVDA+,-,35,-,"1,14%",-,Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
15,GROEN,510,243,"14,94%","7,90%","+7,04%",Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
16,sp.a,181,204,"5,30%","6,63%","-1,33%",Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
21,PRO,8,-,"0,23%",-,-,Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
22,BUB Belgische Unie,31,-,"0,91%",-,-,Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
NA,ROSSEM,-,3,-,"0,10%",-,Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PP,-,27,-,"0,88%",-,Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
NA,B.U.B.-Belg.Unie,-,14,-,"0,45%",-,Rhode-Saint-Genèse,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23101,23101,Rhode-Saint-Genèse,N,Sint-Genesius-Rode,Province du Brabant Flamand,RÉGION FLAMANDE
3,Open Vld,808,1.580,"10,20%","20,41%","-10,22%",Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
8,N-VA,2.581,2.793,"32,58%","36,09%","-3,51%",Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
9,VLAAMS BELANG,1.710,409,"21,58%","5,28%","+16,30%",Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
10,CD&V,1.364,1.861,"17,22%","24,04%","-6,83%",Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
11,DéFI,26,-,"0,33%",-,"+0,08%",Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
NA,FDF,-,19,-,"0,25%",-,Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
12,PVDA,220,-,"2,78%",-,"+1,74%",Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PVDA+,-,80,-,"1,03%",-,Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
15,GROEN,625,439,"7,89%","5,67%","+2,22%",Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
16,sp.a,505,528,"6,37%","6,82%","-0,45%",Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
21,PRO,33,-,"0,42%",-,-,Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
22,BUB Belgische Unie,51,-,"0,64%",-,-,Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
NA,ROSSEM,-,5,-,"0,06%",-,Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PP,-,13,-,"0,17%",-,Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
NA,B.U.B.-Belg.Unie,-,13,-,"0,17%",-,Roosdaal,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23097,23097,Roosdaal,N,Roosdaal,Province du Brabant Flamand,RÉGION FLAMANDE
3,Open Vld,1.884,4.849,"10,29%","26,21%","-15,91%",Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
8,N-VA,5.093,4.679,"27,82%","25,29%","+2,53%",Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
9,VLAAMS BELANG,2.297,864,"12,55%","4,67%","+7,88%",Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
10,CD&V,2.105,2.383,"11,50%","12,88%","-1,38%",Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
11,DéFI,1.132,-,"6,18%",-,"-1,84%",Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
NA,FDF,-,1.485,-,"8,03%",-,Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
12,PVDA,1.152,-,"6,29%",-,"+4,89%",Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PVDA+,-,260,-,"1,41%",-,Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
15,GROEN,2.249,1.312,"12,29%","7,09%","+5,19%",Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
16,sp.a,1.910,2.193,"10,43%","11,85%","-1,42%",Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
21,PRO,96,-,"0,52%",-,-,Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
22,BUB Belgische Unie,388,-,"2,12%",-,-,Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
NA,ROSSEM,-,39,-,"0,21%",-,Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PP,-,233,-,"1,26%",-,Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
NA,B.U.B.-Belg.Unie,-,206,-,"1,11%",-,Sint-Pieters-Leeuw,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23077,23077,Sint-Pieters-Leeuw,N,Sint-Pieters-Leeuw,Province du Brabant Flamand,RÉGION FLAMANDE
3,Open Vld,1.084,1.884,"13,91%","24,74%","-10,83%",Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
8,N-VA,2.959,2.844,"37,97%","37,34%","+0,62%",Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
9,VLAAMS BELANG,1.151,389,"14,77%","5,11%","+9,66%",Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
10,CD&V,756,978,"9,70%","12,84%","-3,14%",Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
11,DéFI,112,-,"1,44%",-,"-0,02%",Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
NA,FDF,-,111,-,"1,46%",-,Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
12,PVDA,322,-,"4,13%",-,"+2,88%",Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PVDA+,-,95,-,"1,25%",-,Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
15,GROEN,737,510,"9,46%","6,70%","+2,76%",Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
16,sp.a,613,748,"7,87%","9,82%","-1,96%",Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
21,PRO,9,-,"0,12%",-,-,Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
22,BUB Belgische Unie,51,-,"0,65%",-,-,Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
NA,ROSSEM,-,19,-,"0,25%",-,Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PP,-,18,-,"0,24%",-,Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
NA,B.U.B.-Belg.Unie,-,20,-,"0,26%",-,Steenokkerzeel,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23081,23081,Steenokkerzeel,N,Steenokkerzeel,Province du Brabant Flamand,RÉGION FLAMANDE
3,Open Vld,1.635,2.961,"15,48%","28,12%","-12,65%",Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
8,N-VA,3.138,3.494,"29,70%","33,18%","-3,48%",Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
9,VLAAMS BELANG,1.762,505,"16,68%","4,80%","+11,88%",Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
10,CD&V,1.829,1.774,"17,31%","16,85%","+0,46%",Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
11,DéFI,90,-,"0,85%",-,"+0,37%",Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
NA,FDF,-,51,-,"0,48%",-,Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
12,PVDA,364,-,"3,45%",-,"+2,30%",Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PVDA+,-,121,-,"1,15%",-,Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
15,GROEN,951,702,"9,00%","6,67%","+2,33%",Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
16,sp.a,707,859,"6,69%","8,16%","-1,47%",Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
21,PRO,34,-,"0,32%",-,-,Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
22,BUB Belgische Unie,54,-,"0,51%",-,-,Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
NA,ROSSEM,-,15,-,"0,14%",-,Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PP,-,15,-,"0,14%",-,Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
NA,B.U.B.-Belg.Unie,-,32,-,"0,30%",-,Ternat,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23086,23086,Ternat,N,Ternat,Province du Brabant Flamand,RÉGION FLAMANDE
3,Open Vld,3.134,5.014,"13,53%","22,68%","-9,15%",Vilvorde,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23088,23088,Vilvorde,N,Vilvoorde,Province du Brabant Flamand,RÉGION FLAMANDE
8,N-VA,4.451,4.670,"19,21%","21,12%","-1,91%",Vilvorde,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23088,23088,Vilvorde,N,Vilvoorde,Province du Brabant Flamand,RÉGION FLAMANDE
9,VLAAMS BELANG,2.733,1.070,"11,79%","4,84%","+6,96%",Vilvorde,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23088,23088,Vilvorde,N,Vilvoorde,Province du Brabant Flamand,RÉGION FLAMANDE
10,CD&V,1.796,2.239,"7,75%","10,13%","-2,38%",Vilvorde,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23088,23088,Vilvorde,N,Vilvoorde,Province du Brabant Flamand,RÉGION FLAMANDE
11,DéFI,1.313,-,"5,67%",-,"-0,04%",Vilvorde,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23088,23088,Vilvorde,N,Vilvoorde,Province du Brabant Flamand,RÉGION FLAMANDE
NA,FDF,-,1.261,-,"5,70%",-,Vilvorde,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23088,23088,Vilvorde,N,Vilvoorde,Province du Brabant Flamand,RÉGION FLAMANDE
12,PVDA,2.269,-,"9,79%",-,"+7,27%",Vilvorde,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23088,23088,Vilvorde,N,Vilvoorde,Province du Brabant Flamand,RÉGION FLAMANDE
NA,PVDA+,-,558,-,"2,52%",-,Vilvorde,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23088,23088,Vilvorde,N,Vilvoorde,Province du Brabant Flamand,RÉGION FLAMANDE
15,GROEN,2.750,1.727,"11,87%","7,81%","+4,06%",Vilvorde,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23088,23088,Vilvorde,N,Vilvoorde,Province du Brabant Flamand,RÉGION FLAMANDE
16,sp.a,4.327,5.175,"18,67%","23,41%","-4,73%",Vilvorde,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23088,23088,Vilvorde,N,Vilvoorde,Province du Brabant Flamand,RÉGION FLAMANDE
21,PRO,134,-,"0,58%",-,-,Vilvorde,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX23088,23088,Vilvorde,N,Vilvoorde,Province du Brabant Flamand,RÉGION FLAMANDE
