numero,liste,resultat_2019,resultat_2014,pourcent_2019,pourcent_2014,evolution_en_pourcent,commune,lien,INS,Entités administratives,Langue,Administratieve eenheden,Province,Region
NA,Égalitaires !,-,94,-,"0,21%",-,Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,LaLutte-DeStrijd,-,26,-,"0,06%",-,Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,ISLAM,-,1.524,-,"3,46%",-,Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
2,ECOLO,3.951,1.900,"25,03%","12,17%","+12,86%",Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
3,Open Vld,282,345,"1,79%","2,21%","-0,42%",Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
5,CDH,759,971,"4,81%","6,22%","-1,41%",Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
6,MR,3.334,3.916,"21,12%","25,09%","-3,97%",Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
7,PARTI POPULAIRE,263,259,"1,67%","1,66%","+0,01%",Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
8,N-VA,382,287,"2,42%","1,84%","+0,58%",Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
9,VLAAMS BELANG,170,91,"1,08%","0,58%","+0,49%",Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
10,CD&V,171,281,"1,08%","1,80%","-0,72%",Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
11,DéFI,3.449,-,"21,85%",-,"-5,95%",Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,FDF,-,4.339,-,"27,80%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
12,PTB*PVDA,990,-,"6,27%",-,"+3,53%",Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,PTB*PVDA-GO !,-,428,-,"2,74%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
13,LISTES DESTEXHE,535,-,"3,39%",-,-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
17,PS,1.499,2.188,"9,50%","14,02%","-4,52%",Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,sp.a,-,122,-,"0,78%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,MG,-,16,-,"0,10%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,LA DROITE,-,87,-,"0,56%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,DEBOUT LES BELGES!,-,180,-,"1,15%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,GAUCHES COMMUNES,-,37,-,"0,24%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,NATION,-,36,-,"0,23%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,Agora Erasmus,-,11,-,"0,07%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,PARTI LIBERTARIEN,-,30,-,"0,19%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,Égalitaires !,-,7,-,"0,04%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,LaLutte-DeStrijd,-,5,-,"0,03%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,ISLAM,-,74,-,"0,47%",-,Auderghem,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21002,21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
2,ECOLO,1.835,869,"15,62%","7,50%","+8,11%",Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
3,Open Vld,423,465,"3,60%","4,02%","-0,41%",Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
5,CDH,1.000,1.263,"8,51%","10,91%","-2,39%",Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
6,MR,1.863,2.736,"15,86%","23,62%","-7,77%",Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
7,PARTI POPULAIRE,204,295,"1,74%","2,55%","-0,81%",Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
8,N-VA,689,631,"5,86%","5,45%","+0,42%",Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
9,VLAAMS BELANG,338,218,"2,88%","1,88%","+0,99%",Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
10,CD&V,253,411,"2,15%","3,55%","-1,40%",Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
11,DéFI,991,-,"8,43%",-,"+0,07%",Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,FDF,-,969,-,"8,37%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
12,PTB*PVDA,1.496,-,"12,73%",-,"+10,17%",Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,PTB*PVDA-GO !,-,297,-,"2,56%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
13,LISTES DESTEXHE,359,-,"3,06%",-,-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
17,PS,2.298,2.519,"19,56%","21,75%","-2,19%",Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,sp.a,-,243,-,"2,10%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,MG,-,10,-,"0,09%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,LA DROITE,-,58,-,"0,50%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,DEBOUT LES BELGES!,-,277,-,"2,39%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,GAUCHES COMMUNES,-,25,-,"0,22%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,NATION,-,45,-,"0,39%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,Agora Erasmus,-,12,-,"0,10%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
